"validfrom (UTC)","validto (UTC)",point,type,granularity,timezone,activity,classification,"capacity (kW)","volume (kWh)",percentage,"emission (kg CO2)","emissionfactor (kg CO2/kWh)"
"2023-12-31 23:00:00","2024-01-01 00:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1019750,1019750,0,403821,0.39599999785423
"2024-01-01 00:00:00","2024-01-01 01:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1023250,1023250,0,405207,0.39599999785423
"2024-01-01 01:00:00","2024-01-01 02:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1037250,1037250,0,410751,0.39599999785423
"2024-01-01 02:00:00","2024-01-01 03:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1039750,1039750,0,411741,0.39599999785423
"2024-01-01 03:00:00","2024-01-01 04:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,988250,988250,0,391347,0.39599999785423
"2024-01-01 04:00:00","2024-01-01 05:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,982500,982500,0,389070,0.39599999785423
"2024-01-01 05:00:00","2024-01-01 06:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,909500,909500,0,360162,0.39599999785423
"2024-01-01 06:00:00","2024-01-01 07:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,937250,937250,0,371151,0.39599999785423
"2024-01-01 07:00:00","2024-01-01 08:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,904000,904000,0,357984,0.39599999785423
"2024-01-01 08:00:00","2024-01-01 09:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,852750,852750,0,337689,0.39599999785423
"2024-01-01 09:00:00","2024-01-01 10:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,891500,891500,0,353034,0.39599999785423
"2024-01-01 10:00:00","2024-01-01 11:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,881500,881500,0,349074,0.39599999785423
"2024-01-01 11:00:00","2024-01-01 12:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,867000,867000,0,343332,0.39599999785423
"2024-01-01 12:00:00","2024-01-01 13:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,887250,887250,0,351351,0.39599999785423
"2024-01-01 13:00:00","2024-01-01 14:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,919250,919250,0,364023,0.39599999785423
"2024-01-01 14:00:00","2024-01-01 15:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,980750,980750,0,388377,0.39599999785423
"2024-01-01 15:00:00","2024-01-01 16:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1087750,1087750,0,430749,0.39599999785423
"2024-01-01 16:00:00","2024-01-01 17:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1525250,1525250,0,603999,0.39599999785423
"2024-01-01 17:00:00","2024-01-01 18:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1280750,1280750,0,507177,0.39599999785423
"2024-01-01 18:00:00","2024-01-01 19:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1176500,1176500,0,465894,0.39599999785423
"2024-01-01 19:00:00","2024-01-01 20:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1267000,1267000,0,501732,0.39599999785423
"2024-01-01 20:00:00","2024-01-01 21:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1129500,1129500,0,447282,0.39599999785423
"2024-01-01 21:00:00","2024-01-01 22:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1018000,1018000,0,403128,0.39599999785423
"2024-01-01 22:00:00","2024-01-01 23:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1045250,1045250,0,413919,0.39599999785423
"2024-01-01 23:00:00","2024-01-02 00:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1009750,1009750,0,399861,0.39599999785423
"2024-01-02 00:00:00","2024-01-02 01:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,981000,981000,0,388476,0.39599999785423
"2024-01-02 01:00:00","2024-01-02 02:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1031000,1031000,0,408276,0.39599999785423
"2024-01-02 02:00:00","2024-01-02 03:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1032250,1032250,0,408771,0.39599999785423
"2024-01-02 03:00:00","2024-01-02 04:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1048250,1048250,0,415107,0.39599999785423
"2024-01-02 04:00:00","2024-01-02 05:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1180250,1180250,0,467379,0.39599999785423
"2024-01-02 05:00:00","2024-01-02 06:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1138000,1138000,0,450648,0.39599999785423
"2024-01-02 06:00:00","2024-01-02 07:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1229750,1229750,0,486981,0.39599999785423
"2024-01-02 07:00:00","2024-01-02 08:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1332500,1332500,0,527670,0.39599999785423
"2024-01-02 08:00:00","2024-01-02 09:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1353500,1353500,0,535986,0.39599999785423
"2024-01-02 09:00:00","2024-01-02 10:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1438750,1438750,0,569745,0.39599999785423
"2024-01-02 10:00:00","2024-01-02 11:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,1717500,1717500,0,680130,0.39599999785423
"2024-01-02 11:00:00","2024-01-02 12:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,2134250,2134250,0,845163,0.39599999785423
"2024-01-02 12:00:00","2024-01-02 13:00:00",Nederland,FossilGasPower,Hour,UTC,Providing,Current,2434500,2434500,0,964062,0.39599999785423
