"validfrom (UTC)","validto (UTC)",point,type,granularity,timezone,activity,classification,"capacity (kW)","volume (kWh)",percentage,"emission (kg CO2)","emissionfactor (kg CO2/kWh)"
"2023-12-31 23:00:00","2024-01-01 00:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,305000,305000,0.39102575182915,91500,0.30000001192093
"2024-01-01 00:00:00","2024-01-01 01:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,308000,308000,0.39487200975418,92400,0.30000001192093
"2024-01-01 01:00:00","2024-01-01 02:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,305750,305750,0.39198750257492,91725,0.30000001192093
"2024-01-01 02:00:00","2024-01-01 03:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,300500,300500,0.38525599241257,90150,0.30000001192093
"2024-01-01 03:00:00","2024-01-01 04:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,311250,311250,0.39903849363327,93375,0.30000001192093
"2024-01-01 04:00:00","2024-01-01 05:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,309750,309750,0.3971154987812,92925,0.30000001192093
"2024-01-01 05:00:00","2024-01-01 06:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,303000,303000,0.38846150040627,90900,0.30000001192093
"2024-01-01 06:00:00","2024-01-01 07:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,308750,308750,0.39583349227905,92625,0.30000001192093
"2024-01-01 07:00:00","2024-01-01 08:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,319750,319750,0.40993601083755,95925,0.30000001192093
"2024-01-01 08:00:00","2024-01-01 09:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,330500,330500,0.42371800541878,99150,0.30000001192093
"2024-01-01 09:00:00","2024-01-01 10:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,330000,330000,0.42307698726654,99000,0.30000001192093
"2024-01-01 10:00:00","2024-01-01 11:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,317000,317000,0.40641024708748,95100,0.30000001192093
"2024-01-01 11:00:00","2024-01-01 12:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,310000,310000,0.39743599295616,93000,0.30000001192093
"2024-01-01 12:00:00","2024-01-01 13:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,317250,317250,0.40673074126244,95175,0.30000001192093
"2024-01-01 13:00:00","2024-01-01 14:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,310500,310500,0.3980770111084,93150,0.30000001192093
"2024-01-01 14:00:00","2024-01-01 15:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,317250,317250,0.40673074126244,95175,0.30000001192093
"2024-01-01 15:00:00","2024-01-01 16:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,328750,328750,0.42147448658943,98625,0.30000001192093
"2024-01-01 16:00:00","2024-01-01 17:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,323000,323000,0.41410276293755,96900,0.30000001192093
"2024-01-01 17:00:00","2024-01-01 18:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,317000,317000,0.4064100086689,95100,0.30000001192093
"2024-01-01 18:00:00","2024-01-01 19:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,310250,310250,0.39775648713112,93075,0.30000001192093
"2024-01-01 19:00:00","2024-01-01 20:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,312250,312250,0.40032050013542,93675,0.30000001192093
"2024-01-01 20:00:00","2024-01-01 21:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,304500,304500,0.39038476347923,91350,0.30000001192093
"2024-01-01 21:00:00","2024-01-01 22:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,308250,308250,0.39519223570824,92475,0.30000001192093
"2024-01-01 22:00:00","2024-01-01 23:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,307250,307250,0.39391049742699,92175,0.30000001192093
"2024-01-01 23:00:00","2024-01-02 00:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,311750,311750,0.39967951178551,93525,0.30000001192093
"2024-01-02 00:00:00","2024-01-02 01:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,307250,307250,0.39391049742699,92175,0.30000001192093
"2024-01-02 01:00:00","2024-01-02 02:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,312500,312500,0.40064099431038,93750,0.30000001192093
"2024-01-02 02:00:00","2024-01-02 03:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,309750,309750,0.3971154987812,92925,0.30000001192093
"2024-01-02 03:00:00","2024-01-02 04:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,311250,311250,0.39903849363327,93375,0.30000001192093
"2024-01-02 04:00:00","2024-01-02 05:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,316250,316250,0.40544849634171,94875,0.30000001192093
"2024-01-02 05:00:00","2024-01-02 06:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,319750,319750,0.40993550419807,95925,0.30000001192093
"2024-01-02 06:00:00","2024-01-02 07:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,323750,323750,0.41506400704384,97125,0.30000001192093
"2024-01-02 07:00:00","2024-01-02 08:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,326250,326250,0.41826948523521,97875,0.30000001192093
"2024-01-02 08:00:00","2024-01-02 09:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,322750,322750,0.41378250718117,96825,0.30000001192093
"2024-01-02 09:00:00","2024-01-02 10:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,314750,314750,0.40352550148964,94425,0.30000001192093
"2024-01-02 10:00:00","2024-01-02 11:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,309750,309750,0.3971154987812,92925,0.30000001192093
"2024-01-02 11:00:00","2024-01-02 12:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,292250,292250,0.37467923760414,87675,0.30000001192093
"2024-01-02 12:00:00","2024-01-02 13:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,288500,288500,0.36987173557281,86550,0.30000001192093
"2024-01-02 13:00:00","2024-01-02 14:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,294250,294250,0.37724348902702,88275,0.30000001192093
"2024-01-02 14:00:00","2024-01-02 15:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,293000,293000,0.37564098834991,87900,0.30000001192093
"2024-01-02 15:00:00","2024-01-02 16:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,297000,297000,0.38076901435852,89100,0.30000001192093
"2024-01-02 16:00:00","2024-01-02 17:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,314750,314750,0.40352550148964,94425,0.30000001192093
"2024-01-02 17:00:00","2024-01-02 18:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,315750,315750,0.40480750799179,94725,0.30000001192093
"2024-01-02 18:00:00","2024-01-02 19:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,316000,316000,0.40512800216675,94800,0.30000001192093
"2024-01-02 19:00:00","2024-01-02 20:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,322000,322000,0.41282048821449,96600,0.30000001192093
"2024-01-02 20:00:00","2024-01-02 21:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,321000,321000,0.41153851151466,96300,0.30000001192093
"2024-01-02 21:00:00","2024-01-02 22:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,324750,324750,0.41634649038315,97425,0.30000001192093
"2024-01-02 22:00:00","2024-01-02 23:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,323750,323750,0.41506400704384,97125,0.30000001192093
"2024-01-02 23:00:00","2024-01-03 00:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,313500,313500,0.40192300081253,94050,0.30000001192093
"2024-01-03 00:00:00","2024-01-03 01:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,315000,315000,0.4038459956646,94500,0.30000001192093
"2024-01-03 01:00:00","2024-01-03 02:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,284500,284500,0.36474350094795,85350,0.30000001192093
"2024-01-03 02:00:00","2024-01-03 03:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,310000,310000,0.39743599295616,93000,0.30000001192093
"2024-01-03 03:00:00","2024-01-03 04:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,302250,302250,0.38749998807907,90675,0.30000001192093
"2024-01-03 04:00:00","2024-01-03 05:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,296250,296250,0.37980750203133,88875,0.30000001192093
"2024-01-03 05:00:00","2024-01-03 06:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,296500,296500,0.38012799620628,88950,0.30000001192093
"2024-01-03 06:00:00","2024-01-03 07:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,298250,298250,0.38237175345421,89475,0.30000001192093
"2024-01-03 07:00:00","2024-01-03 08:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,293000,293000,0.37564098834991,87900,0.30000001192093
"2024-01-03 08:00:00","2024-01-03 09:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,281750,281750,0.36121800541878,84525,0.30000001192093
"2024-01-03 09:00:00","2024-01-03 10:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,294750,294750,0.37788450717926,88425,0.30000001192093
"2024-01-03 10:00:00","2024-01-03 11:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,295750,295750,0.37916651368141,88725,0.30000001192093
"2024-01-03 11:00:00","2024-01-03 12:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,291250,291250,0.37339749932289,87375,0.30000001192093
"2024-01-03 12:00:00","2024-01-03 13:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,298500,298500,0.38269224762917,89550,0.30000001192093
"2024-01-03 13:00:00","2024-01-03 14:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,297500,297500,0.38141024112701,89250,0.30000001192093
"2024-01-03 14:00:00","2024-01-03 15:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,290000,290000,0.37179499864578,87000,0.30000001192093
"2024-01-03 15:00:00","2024-01-03 16:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,295750,295750,0.37916651368141,88725,0.30000001192093
"2024-01-03 16:00:00","2024-01-03 17:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,308250,308250,0.39519250392914,92475,0.30000001192093
"2024-01-03 17:00:00","2024-01-03 18:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,318000,318000,0.40769198536873,95400,0.30000001192093
"2024-01-03 18:00:00","2024-01-03 19:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,313000,313000,0.40128201246262,93900,0.30000001192093
"2024-01-03 19:00:00","2024-01-03 20:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,315500,315500,0.40448701381683,94650,0.30000001192093
"2024-01-03 20:00:00","2024-01-03 21:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,324250,324250,0.41570526361465,97275,0.30000001192093
"2024-01-03 21:00:00","2024-01-03 22:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,321250,321250,0.4118592441082,96375,0.30000001192093
"2024-01-03 22:00:00","2024-01-03 23:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,318250,318250,0.40801274776459,95475,0.30000001192093
"2024-01-03 23:00:00","2024-01-04 00:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,330000,330000,0.42307698726654,99000,0.30000001192093
"2024-01-04 00:00:00","2024-01-04 01:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,326000,326000,0.41794899106026,97800,0.30000001192093
"2024-01-04 01:00:00","2024-01-04 02:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,326000,326000,0.41794875264168,97800,0.30000001192093
"2024-01-04 02:00:00","2024-01-04 03:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,319000,319000,0.40897426009178,95700,0.30000001192093
"2024-01-04 03:00:00","2024-01-04 04:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,325000,325000,0.41666674613953,97500,0.30000001192093
"2024-01-04 04:00:00","2024-01-04 05:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,327500,327500,0.41987198591232,98250,0.30000001192093
"2024-01-04 05:00:00","2024-01-04 06:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,325500,325500,0.41730800271034,97650,0.30000001192093
"2024-01-04 06:00:00","2024-01-04 07:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,314500,314500,0.40320524573326,94350,0.30000001192093
"2024-01-04 07:00:00","2024-01-04 08:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,303250,303250,0.38878199458122,90975,0.30000001192093
"2024-01-04 08:00:00","2024-01-04 09:00:00",Nederland,WastePower,Hour,UTC,Providing,Current,316500,316500,0.40576899051666,94950,0.30000001192093
