validto (UTC),capacity (kW) aardgas,percentage aardgas,capacity (kW) afval,percentage afval,capacity (kW) biomassa,percentage biomassa,capacity (kW) electriciteitsmix,percentage electriciteitsmix,capacity (kW) kernenergie,percentage kernenergie,capacity (kW) overig,percentage overig,capacity (kW) steenkool,percentage steenkool,capacity (kW) wind,percentage wind,capacity (kW) wkk,percentage wkk,capacity (kW) zeewind,percentage zeewind,capacity (kW) zon,percentage zon
2024-01-01 00:00:00,1019750,0,305000,0.39102575182915,0,0.0,12235880,0.38539901375771,486000,1.0020600557327,221000,1,0,0.0,5854186,0.94544124603271,1370444,0,2979500,1.3565050363541,0,0.0
2024-01-01 01:00:00,1023250,0,308000,0.39487200975418,0,0.0,12369942,0.3896164894104,486000,1.0020600557327,221000,1,0,0.0,5975233,0.96498376131058,1360959,0,2995500,1.3637900352478,0,0.0
2024-01-01 02:00:00,1037250,0,305750,0.39198750257492,0,0.0,12380739,0.38995149731636,486000,1.0020600557327,221000,1,0,0.0,5956427,0.96194022893906,1356063,0,3018249,1.3741500377655,0,0.0
2024-01-01 03:00:00,1039750,0,300500,0.38525599241257,0,0.0,12461369,0.3924860060215,486000,1.0020600557327,221000,1,0,0.0,6036698,0.97489702701569,1347922,0,3029499,1.3792699575424,0,0.0
2024-01-01 04:00:00,988250,0,311250,0.39903849363327,0,0.0,12446451,0.39201125502586,486000,1.0020600557327,221000,1,0,0.0,6039253,0.97530347108841,1368198,0,3032500,1.3806400299072,0,0.0
2024-01-01 05:00:00,982500,0,309750,0.3971154987812,0,0.0,12448166,0.39206001162529,486000,1.0020600557327,221000,1,0,0.0,5960615,0.96259725093842,1448051,0,3040250,1.3841675519943,0,0.0
2024-01-01 06:00:00,909500,0,303000,0.38846150040627,0,0.0,12135273,0.38220050930977,486000,1.0020600557327,221000,1,0,0.0,5895060,0.95200449228287,1568464,0,2752249,1.2530424594879,0,0.0
2024-01-01 07:00:00,937250,0,308750,0.39583349227905,0,0.0,12185027,0.38376250863075,486000,1.0020600557327,221000,1,0,0.0,5882914,0.95003700256348,1677112,0,2672001,1.2165075540543,0,0.0
2024-01-01 08:00:00,904000,0,319750,0.40993601083755,0,0.0,12343846,0.38875949382782,486250,1.0025750398636,221000,1,0,0.0,5845803,0.94403749704361,1723591,0,2841000,1.293452501297,2452,0.0001203302526846
2024-01-01 09:00:00,852750,0,330500,0.42371800541878,0,0.0,12572124,0.39594349265099,486000,1.0020600557327,221000,1,0,0.0,5678097,0.91694873571396,1825380,0,2949501,1.3428499698639,228896,0.011232770048082
2024-01-01 10:00:00,891500,0,330000,0.42307698726654,0,0.0,13254772,0.41743749380112,486000,1.0020600557327,221000,1,0,0.0,5327214,0.86027950048447,1873141,0,3046500,1.3870099782944,1079417,0.052970051765442
2024-01-01 11:00:00,881500,0,317000,0.40641024708748,0,0.0,14227858,0.44807726144791,486000,1.0020600557327,221000,1,0,0.0,5069808,0.81870597600937,1848833,0,3066500,1.3961174488068,2337217,0.11469192802906
2024-01-01 12:00:00,867000,0,310000,0.39743599295616,0,0.0,14775979,0.4653334915638,486000,1.0020600557327,221000,1,0,0.0,5351728,0.86422652006149,1796012,0,3016250,1.373237490654,2727989,0.13386525213718
2024-01-01 13:00:00,887250,0,317250,0.40673074126244,0,0.0,15338913,0.4830549955368,486000,1.0020600557327,221000,1,0,0.0,5590896,0.90284252166748,1766329,0,3014750,1.3725550174713,3055438,0.14993099868298
2024-01-01 14:00:00,919250,0,310500,0.3980770111084,0,0.0,15084424,0.47503474354744,486000,1.0020600557327,221000,1,0,0.0,5619022,0.90737849473953,1752534,0,3015500,1.3728950023651,2760618,0.13546174764633
2024-01-01 15:00:00,980750,0,317250,0.40673074126244,355,0.000355811236659,13991860,0.44062224030495,486000,1.0020600557327,221000,1,895,0.0017883749678731,5397327,0.87157273292542,1795013,0,2850750,1.2978924512863,1942520,0.095316626131535
2024-01-01 16:00:00,1087750,0,328750,0.42147448658943,71,7.1162248787005e-05,11440901,0.36028450727463,486000,1.0020600557327,221000,1,179,0.0003576749877538,4674710,0.75487822294235,1902672,0,2500998,1.1386524438858,238771,0.011715959757566
2024-01-01 17:00:00,1525250,0,323000,0.41410276293755,0,0.0,10816787,0.34062623977661,486250,1.0025750398636,221000,1,0,0.0,3853706,0.62229698896408,1988831,0,2418750,1.1012074947357,0,0.0
2024-01-01 18:00:00,1280750,0,317000,0.4064100086689,0,0.0,10250338,0.32278400659561,486000,1.0020600557327,221000,1,0,0.0,3197437,0.51631927490234,1888651,0,2859500,1.3018749952316,0,0.0
2024-01-01 19:00:00,1176500,0,310250,0.39775648713112,0,0.0,9508416,0.29941698908806,486000,1.0020600557327,221000,1,0,0.0,2781163,0.44909673929214,1809253,0,2724250,1.2402950525284,0,0.0
2024-01-01 20:00:00,1267000,0,312250,0.40032050013542,426,0.0004269735072739,9056135,0.28517100214958,486000,1.0020600557327,221000,1,1074,0.0021460501011461,2766928,0.44679498672485,1776457,0,2225000,1.0129972696304,0,0.0
2024-01-01 21:00:00,1129500,0,304500,0.39038476347923,0,0.0,9416847,0.29652625322342,486000,1.0020600557327,221000,1,0,0.0,2745784,0.44337776303291,1642313,0,2887750,1.3147350549698,0,0.0
2024-01-01 22:00:00,1018000,0,308250,0.39519223570824,0,0.0,9058466,0.28523701429367,485250,1.0005149841309,221000,1,0,0.0,2585811,0.41754350066185,1510154,0,2930001,1.333972454071,0,0.0
2024-01-01 23:00:00,1045250,0,307250,0.39391049742699,0,0.0,9188659,0.28933298587799,485000,1.0,221000,1,0,0.0,2848158,0.4599027633667,1390252,0,2891749,1.3165550231934,0,0.0
2024-01-02 00:00:00,1009750,0,311750,0.39967951178551,0,0.0,9052560,0.28504374623299,485000,1.0,221000,1,0,0.0,3212671,0.51875823736191,1334138,0,2478251,1.1282999515533,0,0.0
2024-01-02 01:00:00,981000,0,307250,0.39391049742699,0,0.0,9265110,0.29173275828362,485000,1.0,221000,1,0,0.0,3753669,0.60611099004745,1285440,0,2231751,1.0160729885101,0,0.0
2024-01-02 02:00:00,1031000,0,312500,0.40064099431038,0,0.0,10232659,0.3221940100193,485750,1.0015449523926,221000,1,0,0.0,4610631,0.74448102712631,1300277,0,2271501,1.0341675281525,0,0.0
2024-01-02 03:00:00,1032250,0,309750,0.3971154987812,0,0.0,10718119,0.33747500181198,486000,1.0020600557327,221000,1,0,0.0,4950874,0.79941475391388,1317245,0,2401000,1.09312748909,0,0.0
2024-01-02 04:00:00,1048250,0,311250,0.39903849363327,0,0.0,11184146,0.35214424133301,486000,1.0020600557327,221000,1,0,0.0,5287423,0.8537517786026,1366973,0,2463250,1.1214699745178,0,0.0
