"validfrom (UTC)","validto (UTC)",point,type,granularity,timezone,activity,classification,"capacity (kW)","volume (kWh)",percentage,"emission (kg CO2)","emissionfactor (kg CO2/kWh)"
"2023-12-31 23:00:00","2024-01-01 00:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-01 00:00:00","2024-01-01 01:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-01 01:00:00","2024-01-01 02:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-01 02:00:00","2024-01-01 03:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-01 03:00:00","2024-01-01 04:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-01 04:00:00","2024-01-01 05:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-01 05:00:00","2024-01-01 06:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-01 06:00:00","2024-01-01 07:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-01 07:00:00","2024-01-01 08:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-01 08:00:00","2024-01-01 09:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-01 09:00:00","2024-01-01 10:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-01 10:00:00","2024-01-01 11:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-01 11:00:00","2024-01-01 12:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-01 12:00:00","2024-01-01 13:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-01 13:00:00","2024-01-01 14:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-01 14:00:00","2024-01-01 15:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,895,895,0.0017883749678731,712,0.59850001335144
"2024-01-01 15:00:00","2024-01-01 16:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,179,179,0.00035767498775385,142,0.19949999451637
"2024-01-01 16:00:00","2024-01-01 17:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-01 17:00:00","2024-01-01 18:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-01 18:00:00","2024-01-01 19:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-01 19:00:00","2024-01-01 20:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,1074,1074,0.0021460501011461,855,0.59850001335144
"2024-01-01 20:00:00","2024-01-01 21:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-01 21:00:00","2024-01-01 22:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-01 22:00:00","2024-01-01 23:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-01 23:00:00","2024-01-02 00:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-02 00:00:00","2024-01-02 01:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-02 01:00:00","2024-01-02 02:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-02 02:00:00","2024-01-02 03:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-02 03:00:00","2024-01-02 04:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-02 04:00:00","2024-01-02 05:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-02 05:00:00","2024-01-02 06:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-02 06:00:00","2024-01-02 07:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-02 07:00:00","2024-01-02 08:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-02 08:00:00","2024-01-02 09:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-02 09:00:00","2024-01-02 10:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-02 10:00:00","2024-01-02 11:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-02 11:00:00","2024-01-02 12:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-02 12:00:00","2024-01-02 13:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-02 13:00:00","2024-01-02 14:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-02 14:00:00","2024-01-02 15:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-02 15:00:00","2024-01-02 16:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-02 16:00:00","2024-01-02 17:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-02 17:00:00","2024-01-02 18:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-02 18:00:00","2024-01-02 19:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-02 19:00:00","2024-01-02 20:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-02 20:00:00","2024-01-02 21:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-02 21:00:00","2024-01-02 22:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-02 22:00:00","2024-01-02 23:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-02 23:00:00","2024-01-03 00:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-03 00:00:00","2024-01-03 01:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-03 01:00:00","2024-01-03 02:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-03 02:00:00","2024-01-03 03:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-03 03:00:00","2024-01-03 04:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-03 04:00:00","2024-01-03 05:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-03 05:00:00","2024-01-03 06:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-03 06:00:00","2024-01-03 07:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-03 07:00:00","2024-01-03 08:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-03 08:00:00","2024-01-03 09:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-03 09:00:00","2024-01-03 10:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-03 10:00:00","2024-01-03 11:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-03 11:00:00","2024-01-03 12:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-03 12:00:00","2024-01-03 13:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-03 13:00:00","2024-01-03 14:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,0,0,0,0,0
"2024-01-03 14:00:00","2024-01-03 15:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,117496,117496,0.23499299585819,93760,0.79799997806549
"2024-01-03 15:00:00","2024-01-03 16:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,189747,189747,0.37949350476265,151416,0.79799997806549
"2024-01-03 16:00:00","2024-01-03 17:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,227304,227304,0.45460548996925,181386,0.79799997806549
"2024-01-03 17:00:00","2024-01-03 18:00:00",Nederland,FossilHardCoal,Hour,UTC,Providing,Current,302237,302237,0.60447150468826,241182,0.79799997806549
