"validfrom (UTC)","validto (UTC)",point,type,granularity,timezone,activity,classification,"capacity (kW)","volume (kWh)",percentage,"emission (kg CO2)","emissionfactor (kg CO2/kWh)"
"2023-12-31 23:00:00","2024-01-01 00:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1370444,1370444,0,408392,0.29800000786781
"2024-01-01 00:00:00","2024-01-01 01:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1360959,1360959,0,405565,0.29800000786781
"2024-01-01 01:00:00","2024-01-01 02:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1356063,1356063,0,404106,0.29800000786781
"2024-01-01 02:00:00","2024-01-01 03:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1347922,1347922,0,401680,0.29800000786781
"2024-01-01 03:00:00","2024-01-01 04:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1368198,1368198,0,407723,0.29800000786781
"2024-01-01 04:00:00","2024-01-01 05:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1448051,1448051,0,431519,0.29800000786781
"2024-01-01 05:00:00","2024-01-01 06:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1568464,1568464,0,467402,0.29800000786781
"2024-01-01 06:00:00","2024-01-01 07:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1677112,1677112,0,499779,0.29800000786781
"2024-01-01 07:00:00","2024-01-01 08:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1723591,1723591,0,513630,0.29800000786781
"2024-01-01 08:00:00","2024-01-01 09:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1825380,1825380,0,543963,0.29800000786781
"2024-01-01 09:00:00","2024-01-01 10:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1873141,1873141,0,558196,0.29800000786781
"2024-01-01 10:00:00","2024-01-01 11:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1848833,1848833,0,550952,0.29800000786781
"2024-01-01 11:00:00","2024-01-01 12:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1796012,1796012,0,535211,0.29800000786781
"2024-01-01 12:00:00","2024-01-01 13:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1766329,1766329,0,526366,0.29800000786781
"2024-01-01 13:00:00","2024-01-01 14:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1752534,1752534,0,522255,0.29800000786781
"2024-01-01 14:00:00","2024-01-01 15:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1795013,1795013,0,534913,0.29800000786781
"2024-01-01 15:00:00","2024-01-01 16:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1902672,1902672,0,566996,0.29800000786781
"2024-01-01 16:00:00","2024-01-01 17:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1988831,1988831,0,592671,0.29800000786781
"2024-01-01 17:00:00","2024-01-01 18:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1888651,1888651,0,562817,0.29800000786781
"2024-01-01 18:00:00","2024-01-01 19:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1809253,1809253,0,539157,0.29800000786781
"2024-01-01 19:00:00","2024-01-01 20:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1776457,1776457,0,529384,0.29800000786781
"2024-01-01 20:00:00","2024-01-01 21:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1642313,1642313,0,489409,0.29800000786781
"2024-01-01 21:00:00","2024-01-01 22:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1510154,1510154,0,450025,0.29800000786781
"2024-01-01 22:00:00","2024-01-01 23:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1390252,1390252,0,414295,0.29800000786781
"2024-01-01 23:00:00","2024-01-02 00:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1334138,1334138,0,397573,0.29800000786781
"2024-01-02 00:00:00","2024-01-02 01:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1285440,1285440,0,383061,0.29800000786781
"2024-01-02 01:00:00","2024-01-02 02:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1300277,1300277,0,387482,0.29800000786781
"2024-01-02 02:00:00","2024-01-02 03:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1317245,1317245,0,392539,0.29800000786781
"2024-01-02 03:00:00","2024-01-02 04:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1366973,1366973,0,407357,0.29800000786781
"2024-01-02 04:00:00","2024-01-02 05:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1494644,1494644,0,445403,0.29800000786781
"2024-01-02 05:00:00","2024-01-02 06:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1750327,1750327,0,521597,0.29800000786781
"2024-01-02 06:00:00","2024-01-02 07:00:00",Nederland,"WKK Total",Hour,UTC,Providing,Current,1903927,1903927,0,567370,0.29800000786781
