locatie,spanning(kV),transformator,Linear regression Train MAE,Linear regression Test MAE,Prophet Train MAE,Prophet Test MAE,HPO Prophet Train MAE,HPO Prophet Test MAE,NeuralProphet Train MAE,NeuralProphet Test MAE,XGBoost Test MAE,HPO XGBoost Test MAE
Bodegraven,TR1,50-10,91.84217719584255,482.2918657860914,1.2359498288750614,36.79011332356468,35.17564366140865,348.5000425396736,8.943668,114.419533,18.451882845188283,30.0234375
Bodegraven,TR2,50-10,18.536171844464715,62.98590675358602,2.1898921976270214,17.541829957347343,14.074401029801614,11.450354528175042,4.923202,10.415373,20.455339805825243,38.09994669509595
Dordrecht,TR1,150-50,18.57374067280555,46.69557819206507,2.1974612958676465,29.95868599108485,13.780728312174592,59.720450220592305,4.331771,21.416357,19.4496765847348,14.963707571801567
Dordrecht,TR2,150-50,18.779929486644154,45.32667400960405,2.192435211429948,31.8786602806215,13.94799564888494,62.22315267729889,4.255195,24.471783,16.960475329372255,14.977853048462741
Dordrecht,TR3,150-50,18.31359598534716,49.20663670094287,1.9989227659900624,25.740892643152804,13.737017244138276,56.838047635052796,4.421271,18.123823,17.42059973924381,17.750526315789475
Dordrecht,TR4,150-50,7.503239558183025,50.68012451054807,1.0975397190239617,24.07019698129311,6.115253774474218,26.488451130899854,2.066363,36.018345,21.075180482947474,29.667493796526056
Dordrecht,TR5,150-50,6.95668781537518,33.3435411296153,1.028059355609568,8.113996891664682,6.066715149107677,19.855147063602157,2.415539,28.667252,8.83856935717738,16.06741573033708
Dordrecht,TR1,50-13,29.44074321877992,75.62582998829892,3.148081526461424,90.45874108693519,17.092493472537587,155.3987428031893,4.962866,75.978165,49.5449967155682,12.08330979949167
Dordrecht,TR10,50-13,7.100676676110489,43.329713875460364,1.1117976278508834,22.120105691168778,5.820979849623906,14.679626283175823,2.097660,29.479010,27.861028011966276,28.411648289510886
Dordrecht,TR2,50-13,29.581042532345556,76.23938658380743,3.1519017244431,90.46552350590068,17.157884626025716,155.8186997287579,4.936161,76.954979,33.96511896511897,9.320221445221446
Dordrecht,TR3,50-13,6.694795278799812,23.442367186281043,1.0950688113125093,3.2011599554581354,5.073012118392193,14.342439963709309,1.676007,4.821852,18.94699344542605,11.379402189997041
Dordrecht,TR4,50-13,14.074295640149275,32.064621373417665,1.9302341652932449,14.76463445537386,11.100053608376362,46.38648623502258,3.708674,13.090535,17.824708751015987,17.91980088495575
Dordrecht,TR5,50-13,27.520725509331353,69.57732223608053,2.094175850335627,38.43117850362932,18.822622815933222,85.07409864891352,4.207915,48.522758,40.731970157502076,41.862165963431785
Dordrecht,TR6,50-13,11.215925496943834,52.767438452408065,1.189286516699549,8.973144892895954,7.810676374151708,8.280973455434975,2.493207,14.278137,27.723113331580333,24.258874931731295
Dordrecht,TR7,50-13,12.006777618679067,27.495321755726952,2.0013335797092275,44.95413920738343,10.190608420937352,51.43010067379859,4.071884,47.403053,42.27019568489714,15.99265306122449
Dordrecht,TR8,50-13,41.66147909209104,152.50799610164577,2.2387925297558144,58.49459254981009,26.12488834827456,158.63171611199346,5.055099,37.069927,40.636132902630365,104.29413946587538
Dordrecht,TR9,50-13,7.821041815194081,37.332703973637585,0.9836876394287751,13.707116043547849,5.974750427351295,19.51547184677322,1.870265,19.615772,21.11157674174961,23.671960727692753
Middelharnis,TR4,150-50,98.50198925068057,327.0045612317717,2.1258508708317714,12.997431490311898,60.80683947453283,310.76970674693484,4.483405,18.577448,67.11639460610363,17.78009162848813
Middelharnis,TR5,150-50,27.154540013905663,116.57620660673601,2.922296382005808,21.638680236525747,24.080384045931577,19.274107053274154,8.469397,76.620392,84.60455607476635,84.11383796570077
Middelharnis,TR6,150-50,28.462320151272404,133.1484530761627,2.9888123613494972,24.169997170618668,22.91259865428161,12.150274615375434,11.587451,86.229736,92.93587875255028,84.61736049601417
Middelharnis,TR7,150-50,32.982326413745085,148.51968144406197,2.9917883342915106,26.093852007691833,23.471152510587153,35.81663374206241,12.360050,26.368679,94.75395894428152,87.38395245170877
Middelharnis,TR1,50-13,29.21578488915761,28.84276302511122,2.5833886994687933,45.09742407154922,20.922469110934593,112.13422572327993,,,56.943376441803565,51.57310565635005
Middelharnis,TR2,50-13,28.92569919711162,135.97572144705,2.3851378738235534,24.052475263334248,21.62166774416233,34.46605927166455,,,50.76908850726552,110.28772710418984
Middelharnis,TR3,50-13,30.05822877980799,140.13301137891395,2.4726383755578416,12.209911510067572,21.478380298780447,54.00930930231739,,,50.782115536797676,116.49329858525688
Middelharnis,TR8,50-13,20.21243181199757,47.75406775304405,4.0819163392090685,34.213627779769766,15.218969153428207,38.706448077631684,6.638776,32.028984,13.889527618095476,44.82124616956077
Middelharnis,TR9,50-13,28.035789452447297,44.23511022491916,3.225719554706027,46.106967302566915,23.39622928490135,120.54820343947586,5.976907,66.594566,26.92178217821782,24.38867635807192
